2024-01-02 13:06:44 - Service is started at 02-01-2024 13:06:44
2024-01-02 13:07:45 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 13:07:45 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 13:07:45 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 13:07:45 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 13:07:45 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 13:07:45 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 13:07:45 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 13:07:45 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 13:07:45 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 13:08:44 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 13:08:44 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 13:08:44 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 13:08:44 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 13:08:44 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 13:08:44 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 13:08:44 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 13:08:44 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 13:08:44 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 13:09:44 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 13:09:44 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 13:09:44 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 13:09:44 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 13:09:44 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 13:09:44 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 13:09:44 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 13:09:44 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 13:09:44 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 13:10:44 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 13:10:44 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 13:10:44 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 13:10:44 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 13:10:44 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 13:10:44 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 13:10:44 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 13:10:44 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 13:10:44 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 13:10:44 - MobileNumber: 211112, CallData: 02-01-2024 13:10:42
2024-01-02 13:11:44 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 13:11:44 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 13:11:44 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 13:11:44 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 13:11:44 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 13:11:44 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 13:11:44 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 13:11:44 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 13:11:44 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 13:11:44 - MobileNumber: 211112, CallData: 02-01-2024 13:10:42
2024-01-02 14:21:00 - Service is started at 02-01-2024 14:21:00
2024-01-02 14:22:01 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 14:22:01 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 14:22:01 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 14:22:01 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 14:22:01 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 14:22:01 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 14:22:01 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 14:22:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
